names,url,pkgmans,total_pkgs
"[{""name"":multimedia/gstreamer1-transcoder,""pkgman"":freebsd12},{""name"":multimedia/gst-plugins1-transcoder,""pkgman"":netbsd9}]",https://github.com/pitivi/gst-transcoder,"[freebsd12,netbsd9]",2
"[{""name"":multimedia/libva-glx,""pkgman"":freebsd12},{""name"":multimedia/libva,""pkgman"":freebsd12},{""name"":multimedia/libva,""pkgman"":netbsd9}]",https://github.com/intel/libva,"[freebsd12,netbsd9]",3
"[{""name"":multimedia/motion,""pkgman"":freebsd12},{""name"":multimedia/motion,""pkgman"":openbsd69}]",https://github.com/Motion-Project/motion,"[freebsd12,openbsd69]",2
"[{""name"":multimedia/mpv,""pkgman"":freebsd12},{""name"":multimedia/mpv,""pkgman"":openbsd69}]",https://github.com/mpv-player/mpv,"[freebsd12,openbsd69]",2
"[{""name"":multimedia/omxplayer,""pkgman"":freebsd12},{""name"":multimedia/omxplayer,""pkgman"":netbsd9}]",https://github.com/popcornmix/omxplayer,"[freebsd12,netbsd9]",2
"[{""name"":multimedia/openh264,""pkgman"":freebsd12},{""name"":multimedia/openh264,""pkgman"":netbsd9}]",https://github.com/cisco/openh264,"[freebsd12,netbsd9]",2
"[{""name"":net/kube-controller-manager,""pkgman"":freebsd12},{""name"":net/kube-scheduler,""pkgman"":freebsd12},{""name"":sysutils/kubectl,""pkgman"":freebsd12},{""name"":sysutils/kubectl,""pkgman"":openbsd69}]",https://github.com/kubernetes/kubernetes,"[freebsd12,openbsd69]",4
"[{""name"":net/libiscsi,""pkgman"":freebsd12},{""name"":net/libiscsi,""pkgman"":netbsd9},{""name"":devel/libiscsi,""pkgman"":openbsd69}]",https://github.com/sahlberg/libiscsi,"[freebsd12,netbsd9,openbsd69]",3
"[{""name"":net/libsignal-protocol-c,""pkgman"":freebsd12},{""name"":net/libsignal-protocol-c,""pkgman"":openbsd69}]",https://github.com/signalapp/libsignal-protocol-c,"[freebsd12,openbsd69]",2
"[{""name"":net/mtr-nox11,""pkgman"":freebsd12},{""name"":net/mtr,""pkgman"":freebsd12},{""name"":net/mtr,""pkgman"":openbsd69}]",https://github.com/traviscross/mtr,"[freebsd12,openbsd69]",3
"[{""name"":net/nanomsg,""pkgman"":freebsd12},{""name"":net/nanomsg,""pkgman"":openbsd69}]",https://github.com/nanomsg/nanomsg,"[freebsd12,openbsd69]",2
"[{""name"":net/ntopng,""pkgman"":freebsd12},{""name"":net/ntopng,""pkgman"":openbsd69}]",https://github.com/ntop/ntopng,"[freebsd12,openbsd69]",2
"[{""name"":net/nyancat,""pkgman"":freebsd12},{""name"":misc/nyancat,""pkgman"":openbsd69}]",https://github.com/klange/nyancat,"[freebsd12,openbsd69]",2
"[{""name"":net/openrsync,""pkgman"":freebsd12},{""name"":net/openrsync,""pkgman"":netbsd9}]",https://github.com/kristapsdz/openrsync,"[freebsd12,netbsd9]",2
"[{""name"":net-mgmt/prometheus1,""pkgman"":freebsd12},{""name"":net-mgmt/prometheus2,""pkgman"":freebsd12},{""name"":sysutils/prometheus,""pkgman"":openbsd69}]",https://github.com/prometheus/prometheus,"[freebsd12,openbsd69]",3
"[{""name"":net-mgmt/promscale,""pkgman"":freebsd12},{""name"":databases/promscale,""pkgman"":netbsd9}]",https://github.com/timescale/promscale,"[freebsd12,netbsd9]",2
"[{""name"":net-mgmt/py-prometheus-client,""pkgman"":freebsd12},{""name"":net/py-prometheus_client,""pkgman"":netbsd9}]",https://github.com/prometheus/client_python,"[freebsd12,netbsd9]",2
"[{""name"":net-mgmt/riemann-c-client,""pkgman"":freebsd12},{""name"":sysutils/riemann-c-client,""pkgman"":openbsd69}]",https://github.com/algernon/riemann-c-client,"[freebsd12,openbsd69]",2
"[{""name"":net-p2p/litecoin-daemon,""pkgman"":freebsd12},{""name"":net-p2p/litecoin-utils,""pkgman"":freebsd12},{""name"":net-p2p/litecoin,""pkgman"":freebsd12},{""name"":net/litecoin,""pkgman"":openbsd69}]",https://github.com/litecoin-project/litecoin,"[freebsd12,openbsd69]",4
"[{""name"":net-p2p/mktorrent,""pkgman"":freebsd12},{""name"":net/mktorrent,""pkgman"":openbsd69}]",https://github.com/Rudde/mktorrent,"[freebsd12,openbsd69]",2
"[{""name"":net/6tunnel,""pkgman"":freebsd12},{""name"":net/6tunnel,""pkgman"":netbsd9}]",https://github.com/wojtekka/6tunnel,"[freebsd12,netbsd9]",2
"[{""name"":net/bmon,""pkgman"":freebsd12},{""name"":net/bmon,""pkgman"":netbsd9}]",https://github.com/tgraf/bmon,"[freebsd12,netbsd9]",2
