id,url,count_deps,count_total
118,https://github.com/google/brotli,"{'conan': 3, 'vcpkg': 4, 'freebsd12': 23, 'netbsd9': 0, 'openbsd69': 4}",34
140,https://github.com/google/double-conversion,"{'conan': 3, 'vcpkg': 7, 'freebsd12': 20, 'openbsd69': 4}",34
290,https://github.com/ocaml/ocamlbuild,"{'freebsd12': 26, 'openbsd69': 8}",34
299,https://github.com/lloyd/yajl,"{'freebsd12': 23, 'vcpkg': 0, 'openbsd69': 11}",34
268,https://github.com/harfbuzz/harfbuzz,"{'vcpkg': 11, 'openbsd69': 22}",33
236,https://github.com/boostorg/build,"{'vcpkg': 31, 'freebsd12': 1}",32
211,https://github.com/KhronosGroup/Vulkan-Loader,"{'conan': 1, 'freebsd12': 28, 'openbsd69': 3}",32
82,https://github.com/fmtlib/fmt,"{'conan': 14, 'npm': 0, 'vcpkg': 15, 'openbsd69': 3}",32
129,https://github.com/coin-or/CoinUtils,"{'conan': 4, 'freebsd12': 24}",28
37,https://github.com/hunspell/hunspell/archive/v1.7.0.tar.gz,"{'chromebrew': 26, 'homebrew': 2}",28
265,https://github.com/frankosterfeld/qtkeychain,"{'vcpkg': 0, 'freebsd12': 21, 'openbsd69': 6}",27
192,https://github.com/leethomason/tinyxml2,"{'conan': 4, 'vcpkg': 11, 'freebsd12': 11, 'openbsd69': 1}",27
229,https://github.com/ruby-gnome/pkg-config,"{'rubygems': 25, 'netbsd9': 2}",27
184,https://github.com/gabime/spdlog,"{'conan': 4, 'freebsd12': 18, 'vcpkg': 4, 'netbsd9': 0}",26
100,https://github.com/abseil/abseil-cpp,"{'conan': 5, 'freebsd12': 17, 'vcpkg': 4, 'netbsd9': 0}",26
300,https://github.com/sass/sassc,"{'vcpkg': 1, 'freebsd12': 21, 'openbsd69': 4}",26
246,https://github.com/FluidSynth/fluidsynth,"{'vcpkg': 1, 'freebsd12': 25}",26
208,https://github.com/google/re2,"{'conan': 2, 'vcpkg': 3, 'freebsd12': 19, 'netbsd9': 0}",24
76,https://github.com/zeux/meshoptimizer,"{'conan': 1, 'npm': 23, 'vcpkg': 0}",24
128,https://github.com/coin-or/Osi,"{'conan': 3, 'freebsd12': 21}",24
287,https://github.com/ocaml/camlp4,"{'freebsd12': 22, 'openbsd69': 1}",23
330,https://github.com/mpv-player/mpv,"{'freebsd12': 17, 'openbsd69': 5}",22
343,https://github.com/vim/vim,"{'freebsd12': 17, 'openbsd69': 4}",21
92,https://github.com/KhronosGroup/glslang,"{'conan': 3, 'vcpkg': 1, 'freebsd12': 13, 'openbsd69': 3}",20
7,https://github.com/tildeio/helix,"{'cargo': 2, 'rubygems': 18}",20
85,https://github.com/fribidi/fribidi,"{'conan': 2, 'netbsd9': 1, 'openbsd69': 17}",20
111,https://github.com/awslabs/aws-c-io,"{'conan': 7, 'freebsd12': 8, 'vcpkg': 5}",20
337,https://github.com/ConsoleKit2/ConsoleKit2,"{'freebsd12': 14, 'openbsd69': 6, 'netbsd9': 0}",20
256,https://github.com/ARMmbed/mbedtls,"{'vcpkg': 2, 'freebsd12': 14, 'openbsd69': 4}",20
264,https://github.com/protobuf-c/protobuf-c,"{'vcpkg': 1, 'freebsd12': 18, 'netbsd9': 0}",19
308,https://github.com/Pulse-Eight/platform,"{'freebsd12': 18, 'netbsd9': 1}",19
127,https://github.com/coin-or/Cgl,"{'conan': 1, 'vcpkg': 0, 'freebsd12': 18}",19
338,https://github.com/ibus/ibus,"{'freebsd12': 16, 'openbsd69': 2}",18
171,https://github.com/oatpp/oatpp,"{'conan': 6, 'vcpkg': 12}",18
