,pkgname,ecosystem,count_deps,count_total
750,security/minisign,"['freebsd12', 'openbsd69']","[0, 0]",0
662,lang/tcc,"['freebsd12', 'openbsd69']","[0, 0]",0
661,multimedia/shotcut,"['freebsd12', 'openbsd69']","[0, 0]",0
660,graphics/pqiv,"['freebsd12', 'openbsd69']","[0, 0]",0
751,security/nikto,"['freebsd12', 'openbsd69']","[0, 0]",0
752,security/ocaml-cryptokit,"['freebsd12', 'netbsd9']","[0, 0]",0
831,devel/lua-cliargs,"['netbsd9', 'openbsd69']","[0, 0]",0
653,graphics/maim,"['freebsd12', 'openbsd69']","[0, 0]",0
837,fonts/overpass,"['netbsd9', 'openbsd69']","[0, 0]",0
813,www/slowhttptest,"['freebsd12', 'openbsd69']","[0, 0]",0
650,math/galculator,"['freebsd12', 'openbsd69']","[0, 0]",0
812,www/luakit,"['freebsd12', 'openbsd69']","[0, 0]",0
648,games/bastet,"['freebsd12', 'openbsd69']","[0, 0]",0
754,sysutils/ioping,"['freebsd12', 'openbsd69']","[0, 0]",0
834,devel/lua-term,"['netbsd9', 'openbsd69']","[0, 0]",0
647,games/barony,"['freebsd12', 'openbsd69']","[0, 0]",0
835,games/devilutionx,"['netbsd9', 'openbsd69']","[0, 0]",0
756,sysutils/libtree,"['freebsd12', 'netbsd9']","[0, 0]",0
836,games/fallingtime,"['netbsd9', 'openbsd69']","[0, 0]",0
697,sysutils/hw-probe,"['freebsd12', 'openbsd69']","[0, 0]",0
426,vectorclass,"['conan', 'vcpkg']","[0, 0]",0
577,devel/samurai,"['freebsd12', 'netbsd9']","[0, 0]",0
221,libdvbpsi,"['chromebrew', 'homebrew']","[0, 0]",0
208,plowshare,"['chromebrew', 'homebrew']","[0, 0]",0
211,abcde,"['chromebrew', 'homebrew']","[0, 0]",0
213,shaderc,"['conan', 'vcpkg']","[0, 0]",0
215,squashfuse,"['chromebrew', 'homebrew']","[0, 0]",0
216,autossh,"['chromebrew', 'homebrew']","[0, 0]",0
219,antiword,"['chromebrew', 'homebrew']","[0, 0]",0
223,lzop,"['chromebrew', 'homebrew']","[0, 0]",0
157,nethogs,"['chromebrew', 'homebrew']","[0, 0]",0
227,mosh,"['chromebrew', 'homebrew']","[0, 0]",0
233,aha,"['chromebrew', 'homebrew']","[0, 0]",0
234,aview,"['chromebrew', 'homebrew']","[0, 0]",0
236,iputils,"['chromebrew', 'homebrew']","[0, 0]",0
241,tabulate,"['conan', 'vcpkg']","[0, 0]",0
242,log4cplus,"['conan', 'vcpkg']","[0, 0]",0
207,rkhunter,"['chromebrew', 'homebrew']","[0, 0]",0
204,xmlstarlet,"['chromebrew', 'homebrew']","[0, 0]",0
202,mysqltuner,"['chromebrew', 'homebrew']","[0, 0]",0
201,genstats,"['chromebrew', 'homebrew']","[0, 0]",0
200,leiningen,"['chromebrew', 'homebrew']","[0, 0]",0
197,wput,"['chromebrew', 'homebrew']","[0, 0]",0
192,dosbox,"['chromebrew', 'homebrew']","[0, 0]",0
191,log4c,"['chromebrew', 'homebrew']","[0, 0]",0
190,nedit,"['chromebrew', 'homebrew']","[0, 0]",0
189,quill,"['conan', 'vcpkg']","[0, 0]",0
187,termcolor,"['conan', 'vcpkg']","[0, 0]",0
186,rocksdb,"['conan', 'vcpkg']","[0, 0]",0
183,wbox,"['chromebrew', 'homebrew']","[0, 0]",0
182,fasd,"['chromebrew', 'homebrew']","[0, 0]",0
167,tesseract,"['conan', 'vcpkg']","[0, 0]",0
166,mdns,"['conan', 'vcpkg']","[0, 0]",0
165,quaternions,"['conan', 'vcpkg']","[0, 0]",0
245,screenfetch,"['chromebrew', 'homebrew']","[0, 0]",0
247,zzuf,"['chromebrew', 'homebrew']","[0, 0]",0
257,greatest,"['conan', 'vcpkg']","[0, 0]",0
284,7zip,"['conan', 'vcpkg']","[0, 0]",0
315,charls,"['conan', 'vcpkg']","[0, 0]",0
314,chaiscript,"['conan', 'vcpkg']","[0, 0]",0
312,cgltf,"['conan', 'vcpkg']","[0, 0]",0
310,celero,"['conan', 'vcpkg']","[0, 0]",0
309,c-dbg-macro,"['conan', 'vcpkg']","[0, 0]",0
308,cctz,"['conan', 'vcpkg']","[0, 0]",0
307,cctag,"['conan', 'vcpkg']","[0, 0]",0
305,cargs,"['conan', 'vcpkg']","[0, 0]",0
303,brynet,"['conan', 'vcpkg']","[0, 0]",0
302,brigand,"['conan', 'vcpkg']","[0, 0]",0
301,boolinq,"['conan', 'vcpkg']","[0, 0]",0
300,bitsery,"['conan', 'vcpkg']","[0, 0]",0
286,audiofile,"['conan', 'vcpkg']","[0, 0]",0
285,absent,"['conan', 'vcpkg']","[0, 0]",0
283,exiv2,"['conan', 'vcpkg']","[0, 0]",0
258,happly,"['conan', 'vcpkg']","[0, 0]",0
282,libxlsxwriter,"['conan', 'vcpkg']","[0, 0]",0
279,libtar,"['homebrew', 'conan']","[0, 0]",0
274,libfreenect2,"['conan', 'vcpkg']","[0, 0]",0
273,libcds,"['conan', 'vcpkg']","[0, 0]",0
270,lest,"['conan', 'vcpkg']","[0, 0]",0
269,lerc,"['conan', 'vcpkg']","[0, 0]",0
268,kealib,"['conan', 'vcpkg']","[0, 0]",0
265,ixwebsocket,"['conan', 'vcpkg']","[0, 0]",0
264,inja,"['conan', 'vcpkg']","[0, 0]",0
263,imguizmo,"['conan', 'vcpkg']","[0, 0]",0
262,iir1,"['conan', 'vcpkg']","[0, 0]",0
261,highfive,"['conan', 'vcpkg']","[0, 0]",0
260,hedley,"['conan', 'vcpkg']","[0, 0]",0
259,hazelcast-cpp-client,"['conan', 'vcpkg']","[0, 0]",0
158,ttf2pt1,"['chromebrew', 'homebrew']","[0, 0]",0
156,lftp,"['chromebrew', 'homebrew']","[0, 0]",0
320,cpp-ipc,"['conan', 'vcpkg']","[0, 0]",0
55,blaze,"['conan', 'vcpkg']","[0, 0]",0
46,tracy,"['conan', 'vcpkg']","[0, 0]",0
48,zstr,"['conan', 'vcpkg']","[0, 0]",0
50,transwarp,"['conan', 'vcpkg']","[0, 0]",0
51,units,"['conan', 'vcpkg']","[0, 0]",0
53,geographiclib,"['conan', 'vcpkg']","[0, 0]",0
54,ctre,"['conan', 'vcpkg']","[0, 0]",0
56,wasmedge,"['cargo', 'npm']","[0, 0]",0
153,webstool,"['cargo', 'npm']","[0, 0]",0
57,bitmagic,"['conan', 'vcpkg']","[0, 0]",0
58,cratchit,"['cargo', 'npm']","[0, 0]",0
59,bigint,"['conan', 'vcpkg']","[0, 0]",0
64,clean,"['chromebrew', 'homebrew']","[0, 0]",0
66,crashpad,"['conan', 'vcpkg']","[0, 0]",0
68,cowsay,"['chromebrew', 'homebrew']","[0, 0]",0
44,dataframe,"['conan', 'vcpkg']","[0, 0]",0
43,yyjson,"['conan', 'vcpkg']","[0, 0]",0
42,gamma,"['conan', 'vcpkg']","[0, 0]",0
41,zyre,"['conan', 'vcpkg']","[0, 0]",0
39,fruit,"['conan', 'vcpkg']","[0, 0]",0
36,keychain,"['chromebrew', 'homebrew']","[0, 0]",0
31,indicators,"['conan', 'vcpkg']","[0, 0]",0
30,implot,"['conan', 'vcpkg']","[0, 0]",0
28,msix,"['conan', 'vcpkg']","[0, 0]",0
26,hakuban,"['cargo', 'npm']","[0, 0]",0
25,jsonnet,"['conan', 'vcpkg']","[0, 0]",0
22,kissfft,"['conan', 'vcpkg']","[0, 0]",0
19,oniguruma,"['conan', 'vcpkg']","[0, 0]",0
18,argparse,"['conan', 'vcpkg']","[0, 0]",0
15,stats-rs,"['cargo', 'npm']","[0, 0]",0
13,sokol,"['conan', 'vcpkg']","[0, 0]",0
4,plplot,"['chromebrew', 'homebrew']","[0, 0]",0
71,bddisasm,"['cargo', 'vcpkg']","[0, 0]",0
74,yas,"['conan', 'vcpkg']","[0, 0]",0
78,vc,"['conan', 'vcpkg']","[0, 0]",0
110,fakeit,"['conan', 'vcpkg']","[0, 0]",0
151,hidapi,"['conan', 'vcpkg']","[0, 0]",0
150,minimp3,"['conan', 'vcpkg']","[0, 0]",0
148,mimalloc,"['conan', 'vcpkg']","[0, 0]",0
147,mikktspace,"['conan', 'vcpkg']","[0, 0]",0
141,mozjpeg,"['conan', 'vcpkg']","[0, 0]",0
139,pdqsort,"['conan', 'vcpkg']","[0, 0]",0
138,poppler,"['conan', 'vcpkg']","[0, 0]",0
126,medea-jason,"['cargo', 'npm']","[0, 0]",0
124,esprit,"['cargo', 'npm']","[0, 0]",0
120,ipcuco,"['cargo', 'npm']","[0, 0]",0
116,lzfse,"['conan', 'vcpkg']","[0, 0]",0
115,kcp,"['conan', 'vcpkg']","[0, 0]",0
112,enet,"['conan', 'vcpkg']","[0, 0]",0
111,tree-sitter-c,"['cargo', 'conan']","[0, 0]",0
108,pbtools,"['cargo', 'conan']","[0, 0]",0
79,h3,"['conan', 'vcpkg']","[0, 0]",0
105,spectra,"['conan', 'vcpkg']","[0, 0]",0
104,caf,"['conan', 'vcpkg']","[0, 0]",0
102,tinysearch,"['cargo', 'npm']","[0, 0]",0
101,ktx,"['conan', 'vcpkg']","[0, 0]",0
98,stx,"['conan', 'vcpkg']","[0, 0]",0
95,wt,"['conan', 'vcpkg']","[0, 0]",0
94,physx,"['conan', 'vcpkg']","[0, 0]",0
90,hyperscan,"['conan', 'vcpkg']","[0, 0]",0
87,libsvm,"['conan', 'vcpkg']","[0, 0]",0
86,arcus,"['conan', 'vcpkg']","[0, 0]",0
85,sl,"['chromebrew', 'homebrew']","[0, 0]",0
84,netperf,"['chromebrew', 'homebrew']","[0, 0]",0
82,moc,"['chromebrew', 'homebrew']","[0, 0]",0
80,grafbase,"['cargo', 'npm']","[0, 0]",0
319,cpp-httplib,"['conan', 'vcpkg']","[0, 0]",0
321,cppitertools,"['conan', 'vcpkg']","[0, 0]",0
571,devel/qgit,"['freebsd12', 'openbsd69']","[0, 0]",0
471,databases/phppgadmin,"['freebsd12', 'netbsd9']","[0, 0]",0
459,audio/umurmur,"['freebsd12', 'openbsd69']","[0, 0]",0
460,audio/vimpc,"['freebsd12', 'netbsd9']","[0, 0]",0
462,archivers/lua-zlib,"['freebsd12', 'netbsd9']","[0, 0]",0
463,archivers/ocaml-zip,"['freebsd12', 'netbsd9']","[0, 0]",0
468,archivers/xarchiver,"['freebsd12', 'netbsd9']","[0, 0]",0
470,databases/pgmodeler,"['freebsd12', 'openbsd69']","[0, 0]",0
