packages,url
"[{""manager"":cargo,""name"":sn0int},{""manager"":cargo,""name"":sn0int-registry},{""manager"":cargo,""name"":sn0int-common},{""manager"":cargo,""name"":sn0int-std},{""manager"":openbsd69,""name"":security/sn0int}]",https://github.com/kpcyrd/sn0int
"[{""manager"":cargo,""name"":solana-archiver-lib},{""manager"":cargo,""name"":solana},{""manager"":cargo,""name"":solana-ledger-tool},{""manager"":cargo,""name"":solana-fixed-buf},{""manager"":cargo,""name"":solana-config-api},{""manager"":cargo,""name"":solana-budget-api},{""manager"":cargo,""name"":solana-bpfloader},{""manager"":cargo,""name"":solana-drone},{""manager"":cargo,""name"":solana-zk-token-proof-program},{""manager"":cargo,""name"":solana-chacha-cuda},{""manager"":cargo,""name"":solana-bpf-loader-api},{""manager"":cargo,""name"":solana-accountsdb-plugin-postgres},{""manager"":cargo,""name"":safecoin-streamer},{""manager"":cargo,""name"":solana-sdk-bpf-test},{""manager"":cargo,""name"":solana-cargo-test-bpf},{""manager"":cargo,""name"":solana-client-test},{""manager"":cargo,""name"":solana-cargo-build-bpf},{""manager"":cargo,""name"":solana-netutil},{""manager"":cargo,""name"":solana-move-loader-program},{""manager"":cargo,""name"":solana-librapay-api},{""manager"":cargo,""name"":solana-version},{""manager"":cargo,""name"":safecoin-budget-program},{""manager"":cargo,""name"":solana-token-program},{""manager"":cargo,""name"":solana-native-loader},{""manager"":cargo,""name"":solana-bpf-helloworld},{""manager"":cargo,""name"":solana-system-program},{""manager"":cargo,""name"":solana-noop},{""manager"":cargo,""name"":solana-vest-api},{""manager"":cargo,""name"":safecoin-exchange-program},{""manager"":cargo,""name"":safecoin-ownable},{""manager"":cargo,""name"":safecoin-notifier},{""manager"":cargo,""name"":solana-rewards-program},{""manager"":cargo,""name"":safecoin-ledger},{""manager"":cargo,""name"":solana-bitcoin-spv-program},{""manager"":cargo,""name"":safecoin-vest-program},{""manager"":cargo,""name"":safecoin-sys-tuner},{""manager"":cargo,""name"":btc_spv_bin},{""manager"":cargo,""name"":solana-upload-perf},{""manager"":cargo,""name"":solana-config-tests},{""manager"":cargo,""name"":solana-fullnode},{""manager"":cargo,""name"":solana-fullnode-config},{""manager"":cargo,""name"":solana-rpc-test},{""manager"":cargo,""name"":solana-stake-tests},{""manager"":cargo,""name"":solana-btc-spv-api},{""manager"":cargo,""name"":solana-vote-api},{""manager"":cargo,""name"":solana-exchange-api},{""manager"":cargo,""name"":solana-geyser-plugin-postgres},{""manager"":cargo,""name"":safecoin-noop-program},{""manager"":cargo,""name"":safecoin-merkle-tree},{""manager"":cargo,""name"":solana-rewards-api},{""manager"":cargo,""name"":solana-btc-spv-program},{""manager"":cargo,""name"":solana-ed25519-program},{""manager"":cargo,""name"":solana-chacha},{""manager"":cargo,""name"":solana-replica-node},{""manager"":cargo,""name"":solana-token-api},{""manager"":cargo,""name"":solana-budget-program},{""manager"":cargo,""name"":solana-storage-api},{""manager"":cargo,""name"":solana-chacha-sys},{""manager"":cargo,""name"":solana-accountsdb-plugin-manager},{""manager"":cargo,""name"":solana-archiver-utils},{""manager"":cargo,""name"":solana-noop-program},{""manager"":cargo,""name"":solana-storage-program},{""manager"":cargo,""name"":solana-download-utils},{""manager"":cargo,""name"":solana-rpc},{""manager"":cargo,""name"":solana-entry},{""manager"":cargo,""name"":solana-move-loader-api},{""manager"":cargo,""name"":solana-geyser-plugin-manager},{""manager"":cargo,""name"":solana-poh},{""manager"":cargo,""name"":solana-gossip},{""manager"":cargo,""name"":solana-stake-monitor},{""manager"":cargo,""name"":solana-vote-signer},{""manager"":cargo,""name"":solana-stake-accounts},{""manager"":cargo,""name"":solana-tokens},{""manager"":cargo,""name"":solana-cli},{""manager"":cargo,""name"":solana-validator},{""manager"":cargo,""name"":solana-exchange-program},{""manager"":cargo,""name"":solana-keygen},{""manager"":cargo,""name"":solana-local-cluster},{""manager"":cargo,""name"":solana-ownable},{""manager"":cargo,""name"":solana-lualoader},{""manager"":cargo,""name"":solana-failure-program},{""manager"":cargo,""name"":solana-install},{""manager"":cargo,""name"":solana-genesis},{""manager"":cargo,""name"":solana-genesis-programs},{""manager"":cargo,""name"":solana-vest-program},{""manager"":cargo,""name"":solana-kvstore},{""manager"":cargo,""name"":solana-sys-tuner},{""manager"":cargo,""name"":solana-cli-output},{""manager"":cargo,""name"":solana-replica-lib},{""manager"":cargo,""name"":solana-core},{""manager"":cargo,""name"":solana-metrics},{""manager"":cargo,""name"":solana-send-transaction-service},{""manager"":cargo,""name"":solana-merkle-tree},{""manager"":cargo,""name"":solana-streamer},{""manager"":cargo,""name"":solana-account-decoder},{""manager"":cargo,""name"":solana-rayon-threadlimit},{""manager"":cargo,""name"":solana-bpf-loader-program},{""manager"":cargo,""name"":solana-geyser-plugin-interface},{""manager"":cargo,""name"":solana-storage-proto},{""manager"":cargo,""name"":solana-banks-server},{""manager"":cargo,""name"":solana-client},{""manager"":cargo,""name"":solana-faucet},{""manager"":cargo,""name"":solana-cli-config},{""manager"":cargo,""name"":solana-net-utils},{""manager"":cargo,""name"":solana-watchtower},{""manager"":cargo,""name"":solana-banks-interface},{""manager"":cargo,""name"":solana-storage-bigtable},{""manager"":cargo,""name"":solana-crate-features},{""manager"":cargo,""name"":solana-config-program},{""manager"":cargo,""name"":solana-remote-wallet},{""manager"":cargo,""name"":solana-sdk},{""manager"":cargo,""name"":solana-genesis-utils},{""manager"":cargo,""name"":solana-test-validator},{""manager"":cargo,""name"":solana-perf},{""manager"":cargo,""name"":solana-banks-client},{""manager"":cargo,""name"":solana-address-lookup-table-program},{""manager"":cargo,""name"":solana-stake-program},{""manager"":cargo,""name"":solana-program-test},{""manager"":cargo,""name"":solana-vote-program},{""manager"":cargo,""name"":solana-accountsdb-plugin-interface},{""manager"":cargo,""name"":solana-frozen-abi-macro},{""manager"":cargo,""name"":solana-sdk-macro},{""manager"":cargo,""name"":solana-logger},{""manager"":cargo,""name"":solana-runtime},{""manager"":cargo,""name"":solana-bloom},{""manager"":cargo,""name"":solana-program-runtime},{""manager"":cargo,""name"":solana-measure},{""manager"":cargo,""name"":solana-frozen-abi},{""manager"":cargo,""name"":solana-transaction-status},{""manager"":cargo,""name"":solana-program},{""manager"":cargo,""name"":solana-zk-token-sdk},{""manager"":cargo,""name"":solana-ledger},{""manager"":cargo,""name"":solana-clap-utils},{""manager"":cargo,""name"":solana-notifier},{""manager"":cargo,""name"":solana-bucket-map},{""manager"":cargo,""name"":solana-compute-budget-program},{""manager"":cargo,""name"":solana-secp256k1-program},{""manager"":cargo,""name"":solana-wallet},{""manager"":cargo,""name"":solana-validator-info},{""manager"":cargo,""name"":solana-stake-api},{""manager"":cargo,""name"":solana-sdk-macro-frozen-abi},{""manager"":freebsd12,""name"":security/solana}]",https://github.com/solana-labs/solana
"[{""manager"":alire,""name"":openssl},{""manager"":vcpkg,""name"":openssl}]",https://www.openssl.org
"[{""manager"":alire,""name"":unixodbc},{""manager"":conan,""name"":odbc}]",http://www.unixodbc.org
"[{""manager"":alire,""name"":libwayland},{""manager"":conan,""name"":wayland}]",https://wayland.freedesktop.org
"[{""manager"":cargo,""name"":scte35dump},{""manager"":freebsd12,""name"":multimedia/scte35dump}]",https://github.com/m2amedia/scte35dump
"[{""manager"":cargo,""name"":unicorn-engine},{""manager"":vcpkg,""name"":unicorn},{""manager"":freebsd12,""name"":emulators/py-unicorn},{""manager"":freebsd12,""name"":emulators/unicorn}]",https://github.com/unicorn-engine/unicorn
"[{""manager"":cargo,""name"":ra_syntax},{""manager"":cargo,""name"":gen_lsp_server},{""manager"":cargo,""name"":la-arena},{""manager"":cargo,""name"":ra_ap_la-arena},{""manager"":cargo,""name"":ra_ap_ssr},{""manager"":cargo,""name"":ra_ap_rust-analyzer},{""manager"":cargo,""name"":ra_ap_ide_ssr},{""manager"":cargo,""name"":ra_ap_syntax},{""manager"":freebsd12,""name"":devel/rust-analyzer}]",https://github.com/rust-analyzer/rust-analyzer
"[{""manager"":cargo,""name"":sniffglue},{""manager"":freebsd12,""name"":security/sniffglue}]",https://github.com/kpcyrd/sniffglue
"[{""manager"":cargo,""name"":BuildEAR},{""manager"":freebsd12,""name"":devel/bear}]",https://github.com/rizsotto/Bear
