name,nodelist,count,notes
asciidoc,"[{""name"":asciidoc,""pkgman"":Cargo},{""name"":asciidoc,""pkgman"":Chromebrew},{""name"":asciidoc,""pkgman"":Homebrew}]",3,
oauth,"[{""name"":oauth,""pkgman"":Cargo},{""name"":oauth,""pkgman"":Nimble}]",2,
plugins,"[{""name"":plugins,""pkgman"":Cargo},{""name"":plugins,""pkgman"":Nimble}]",2,
needle,"[{""name"":needle,""pkgman"":Cargo},{""name"":needle,""pkgman"":Homebrew}]",2,
osrm,"[{""name"":osrm,""pkgman"":Cargo},{""name"":osrm,""pkgman"":Nimble}]",2,
saltwater,"[{""name"":saltwater,""pkgman"":Cargo},{""name"":saltwater,""pkgman"":Homebrew}]",2,
postgis,"[{""name"":postgis,""pkgman"":Cargo},{""name"":postgis,""pkgman"":Homebrew}]",2,
blitz,"[{""name"":blitz,""pkgman"":Cargo},{""name"":blitz,""pkgman"":Homebrew},{""name"":blitz,""pkgman"":VCPKG}]",3,
gpx,"[{""name"":gpx,""pkgman"":Cargo},{""name"":gpx,""pkgman"":Homebrew},{""name"":gpx,""pkgman"":Nimble}]",3,
libsystemd,"[{""name"":libsystemd,""pkgman"":Cargo},{""name"":libsystemd,""pkgman"":Conan}]",2,
xxtea,"[{""name"":xxtea,""pkgman"":Cargo},{""name"":xxtea,""pkgman"":Nimble}]",2,
jid,"[{""name"":jid,""pkgman"":Cargo},{""name"":jid,""pkgman"":Homebrew}]",2,
emacs,"[{""name"":emacs,""pkgman"":Cargo},{""name"":emacs,""pkgman"":Chromebrew},{""name"":emacs,""pkgman"":Homebrew}]",3,
miter,"[{""name"":miter,""pkgman"":Cargo},{""name"":miter,""pkgman"":Nimble}]",2,
weechat,"[{""name"":weechat,""pkgman"":Cargo},{""name"":weechat,""pkgman"":Chromebrew},{""name"":weechat,""pkgman"":Homebrew}]",3,
gradient,"[{""name"":gradient,""pkgman"":Cargo},{""name"":gradient,""pkgman"":Nimble}]",2,
graphene,"[{""name"":graphene,""pkgman"":Cargo},{""name"":graphene,""pkgman"":Chromebrew},{""name"":graphene,""pkgman"":Conan},{""name"":graphene,""pkgman"":Homebrew},{""name"":graphene,""pkgman"":VCPKG}]",5,
graphicsmagick,"[{""name"":graphicsmagick,""pkgman"":Cargo},{""name"":graphicsmagick,""pkgman"":Chromebrew},{""name"":graphicsmagick,""pkgman"":Homebrew},{""name"":graphicsmagick,""pkgman"":VCPKG}]",4,
stress,"[{""name"":stress,""pkgman"":Cargo},{""name"":stress,""pkgman"":Homebrew}]",2,
streamlink,"[{""name"":streamlink,""pkgman"":Cargo},{""name"":streamlink,""pkgman"":Homebrew}]",2,
fnv,"[{""name"":fnv,""pkgman"":Cargo},{""name"":fnv,""pkgman"":Nimble}]",2,
grpc,"[{""name"":grpc,""pkgman"":Cargo},{""name"":grpc,""pkgman"":Conan},{""name"":grpc,""pkgman"":Homebrew},{""name"":grpc,""pkgman"":VCPKG}]",4,
stow,"[{""name"":stow,""pkgman"":Cargo},{""name"":stow,""pkgman"":Chromebrew},{""name"":stow,""pkgman"":Homebrew}]",3,
urlshortener,"[{""name"":urlshortener,""pkgman"":Cargo},{""name"":urlshortener,""pkgman"":Nimble}]",2,
minisat,"[{""name"":minisat,""pkgman"":Cargo},{""name"":minisat,""pkgman"":Homebrew}]",2,
pop3,"[{""name"":pop3,""pkgman"":Cargo},{""name"":pop3,""pkgman"":Nimble}]",2,
fanyi,"[{""name"":fanyi,""pkgman"":Cargo},{""name"":fanyi,""pkgman"":Homebrew}]",2,
titlecase,"[{""name"":titlecase,""pkgman"":Cargo},{""name"":titlecase,""pkgman"":Homebrew}]",2,
openldap,"[{""name"":openldap,""pkgman"":Cargo},{""name"":openldap,""pkgman"":Chromebrew},{""name"":openldap,""pkgman"":Homebrew}]",3,
stoken,"[{""name"":stoken,""pkgman"":Cargo},{""name"":stoken,""pkgman"":Homebrew}]",2,
consul,"[{""name"":consul,""pkgman"":Cargo},{""name"":consul,""pkgman"":Homebrew},{""name"":consul,""pkgman"":Nimble}]",3,
stomp,"[{""name"":stomp,""pkgman"":Cargo},{""name"":stomp,""pkgman"":Nimble}]",2,
stone,"[{""name"":stone,""pkgman"":Cargo},{""name"":stone,""pkgman"":Homebrew}]",2,
minecraft,"[{""name"":minecraft,""pkgman"":Cargo},{""name"":minecraft,""pkgman"":Chromebrew}]",2,
ta-lib,"[{""name"":ta-lib,""pkgman"":Cargo},{""name"":ta-lib,""pkgman"":Homebrew}]",2,
tagref,"[{""name"":tagref,""pkgman"":Cargo},{""name"":tagref,""pkgman"":Homebrew}]",2,
terraform,"[{""name"":terraform,""pkgman"":Cargo},{""name"":terraform,""pkgman"":Chromebrew},{""name"":terraform,""pkgman"":Homebrew}]",3,
nano,"[{""name"":nano,""pkgman"":Cargo},{""name"":nano,""pkgman"":Chromebrew},{""name"":nano,""pkgman"":Homebrew}]",3,
terminus,"[{""name"":terminus,""pkgman"":Cargo},{""name"":terminus,""pkgman"":Chromebrew}]",2,
tailscale,"[{""name"":tailscale,""pkgman"":Cargo},{""name"":tailscale,""pkgman"":Homebrew}]",2,
luna,"[{""name"":luna,""pkgman"":Cargo},{""name"":luna,""pkgman"":Nimble}]",2,
trader,"[{""name"":trader,""pkgman"":Cargo},{""name"":trader,""pkgman"":Homebrew}]",2,
farmhash,"[{""name"":farmhash,""pkgman"":Cargo},{""name"":farmhash,""pkgman"":Conan},{""name"":farmhash,""pkgman"":VCPKG}]",3,
stint,"[{""name"":stint,""pkgman"":Cargo},{""name"":stint,""pkgman"":Nimble}]",2,
mysql,"[{""name"":mysql,""pkgman"":Cargo},{""name"":mysql,""pkgman"":Chromebrew},{""name"":mysql,""pkgman"":Homebrew}]",3,
lazy,"[{""name"":lazy,""pkgman"":Cargo},{""name"":lazy,""pkgman"":Nimble}]",2,
ejdb,"[{""name"":ejdb,""pkgman"":Cargo},{""name"":ejdb,""pkgman"":Homebrew}]",2,
bkt,"[{""name"":bkt,""pkgman"":Cargo},{""name"":bkt,""pkgman"":Homebrew}]",2,
leveldb,"[{""name"":leveldb,""pkgman"":Cargo},{""name"":leveldb,""pkgman"":Chromebrew},{""name"":leveldb,""pkgman"":Conan},{""name"":leveldb,""pkgman"":Homebrew},{""name"":leveldb,""pkgman"":Nimble},{""name"":leveldb,""pkgman"":VCPKG}]",6,
watchexec,"[{""name"":watchexec,""pkgman"":Cargo},{""name"":watchexec,""pkgman"":Homebrew}]",2,
peek,"[{""name"":peek,""pkgman"":Cargo},{""name"":peek,""pkgman"":Chromebrew}]",2,
step,"[{""name"":step,""pkgman"":Cargo},{""name"":step,""pkgman"":Homebrew}]",2,
mhash,"[{""name"":mhash,""pkgman"":Cargo},{""name"":mhash,""pkgman"":Homebrew}]",2,
args,"[{""name"":args,""pkgman"":Cargo},{""name"":args,""pkgman"":VCPKG}]",2,
argus,"[{""name"":argus,""pkgman"":Cargo},{""name"":argus,""pkgman"":Homebrew}]",2,
icon,"[{""name"":icon,""pkgman"":Cargo},{""name"":icon,""pkgman"":Homebrew},{""name"":icon,""pkgman"":Nimble}]",3,
pipes,"[{""name"":pipes,""pkgman"":Cargo},{""name"":pipes,""pkgman"":Conan}]",2,
tecs,"[{""name"":tecs,""pkgman"":Cargo},{""name"":tecs,""pkgman"":Nimble}]",2,
kiwi,"[{""name"":kiwi,""pkgman"":Cargo},{""name"":kiwi,""pkgman"":Nimble}]",2,
fuzzy,"[{""name"":fuzzy,""pkgman"":Cargo},{""name"":fuzzy,""pkgman"":Nimble}]",2,
cirru_edn,"[{""name"":cirru_edn,""pkgman"":Cargo},{""name"":cirru_edn,""pkgman"":Nimble}]",2,
http-server,"[{""name"":http-server,""pkgman"":Cargo},{""name"":http-server,""pkgman"":Homebrew}]",2,
bigint,"[{""name"":bigint,""pkgman"":Cargo},{""name"":bigint,""pkgman"":Conan},{""name"":bigint,""pkgman"":VCPKG}]",3,
cirru_parser,"[{""name"":cirru_parser,""pkgman"":Cargo},{""name"":cirru_parser,""pkgman"":Nimble}]",2,
tiger,"[{""name"":tiger,""pkgman"":Cargo},{""name"":tiger,""pkgman"":Nimble}]",2,
ski,"[{""name"":ski,""pkgman"":Cargo},{""name"":ski,""pkgman"":Homebrew},{""name"":ski,""pkgman"":Nimble}]",3,
nacl,"[{""name"":nacl,""pkgman"":Cargo},{""name"":nacl,""pkgman"":Homebrew}]",2,
cmark,"[{""name"":cmark,""pkgman"":Cargo},{""name"":cmark,""pkgman"":Homebrew},{""name"":cmark,""pkgman"":Nimble},{""name"":cmark,""pkgman"":VCPKG}]",4,
pipelines,"[{""name"":pipelines,""pkgman"":Cargo},{""name"":pipelines,""pkgman"":Nimble}]",2,
zinc,"[{""name"":zinc,""pkgman"":Cargo},{""name"":zinc,""pkgman"":Homebrew}]",2,
arcus,"[{""name"":arcus,""pkgman"":Cargo},{""name"":arcus,""pkgman"":Conan},{""name"":arcus,""pkgman"":VCPKG}]",3,
armor,"[{""name"":armor,""pkgman"":Cargo},{""name"":armor,""pkgman"":Homebrew}]",2,
mutt,"[{""name"":mutt,""pkgman"":Cargo},{""name"":mutt,""pkgman"":Chromebrew},{""name"":mutt,""pkgman"":Homebrew}]",3,
bcrypt,"[{""name"":bcrypt,""pkgman"":Cargo},{""name"":bcrypt,""pkgman"":Homebrew},{""name"":bcrypt,""pkgman"":Nimble}]",3,
mutagen,"[{""name"":mutagen,""pkgman"":Cargo},{""name"":mutagen,""pkgman"":Chromebrew}]",2,
octane,"[{""name"":octane,""pkgman"":Cargo},{""name"":octane,""pkgman"":Chromebrew}]",2,
telegram,"[{""name"":telegram,""pkgman"":Cargo},{""name"":telegram,""pkgman"":Chromebrew}]",2,
mupen64plus,"[{""name"":mupen64plus,""pkgman"":Cargo},{""name"":mupen64plus,""pkgman"":Homebrew}]",2,
elixir,"[{""name"":elixir,""pkgman"":Cargo},{""name"":elixir,""pkgman"":Chromebrew},{""name"":elixir,""pkgman"":Homebrew}]",3,
ldpl,"[{""name"":ldpl,""pkgman"":Cargo},{""name"":ldpl,""pkgman"":Homebrew}]",2,
crystal,"[{""name"":crystal,""pkgman"":Cargo},{""name"":crystal,""pkgman"":Homebrew}]",2,
cjdns,"[{""name"":cjdns,""pkgman"":Cargo},{""name"":cjdns,""pkgman"":Homebrew}]",2,
crane,"[{""name"":crane,""pkgman"":Cargo},{""name"":crane,""pkgman"":Homebrew}]",2,
theora,"[{""name"":theora,""pkgman"":Cargo},{""name"":theora,""pkgman"":Conan},{""name"":theora,""pkgman"":Homebrew}]",3,
todoist,"[{""name"":todoist,""pkgman"":Cargo},{""name"":todoist,""pkgman"":Nimble}]",2,
platform,"[{""name"":platform,""pkgman"":Cargo},{""name"":platform,""pkgman"":Conan}]",2,
bk,"[{""name"":bk,""pkgman"":Cargo},{""name"":bk,""pkgman"":Homebrew}]",2,
sloc,"[{""name"":sloc,""pkgman"":Cargo},{""name"":sloc,""pkgman"":Homebrew}]",2,
stor,"[{""name"":stor,""pkgman"":Cargo},{""name"":stor,""pkgman"":Nimble}]",2,
cobalt,"[{""name"":cobalt,""pkgman"":Cargo},{""name"":cobalt,""pkgman"":Homebrew}]",2,
diff,"[{""name"":diff,""pkgman"":Cargo},{""name"":diff,""pkgman"":Nimble}]",2,
roll,"[{""name"":roll,""pkgman"":Cargo},{""name"":roll,""pkgman"":Homebrew}]",2,
statix,"[{""name"":statix,""pkgman"":Cargo},{""name"":statix,""pkgman"":Homebrew}]",2,
fzf,"[{""name"":fzf,""pkgman"":Cargo},{""name"":fzf,""pkgman"":Chromebrew},{""name"":fzf,""pkgman"":Homebrew}]",3,
croaring,"[{""name"":croaring,""pkgman"":Cargo},{""name"":croaring,""pkgman"":Homebrew}]",2,
sluice,"[{""name"":sluice,""pkgman"":Cargo},{""name"":sluice,""pkgman"":Chromebrew}]",2,
polymorph,"[{""name"":polymorph,""pkgman"":Cargo},{""name"":polymorph,""pkgman"":Nimble}]",2,
ssh2,"[{""name"":ssh2,""pkgman"":Cargo},{""name"":ssh2,""pkgman"":Nimble}]",2,
brotli,"[{""name"":brotli,""pkgman"":Cargo},{""name"":brotli,""pkgman"":Chromebrew},{""name"":brotli,""pkgman"":Conan},{""name"":brotli,""pkgman"":Homebrew},{""name"":brotli,""pkgman"":VCPKG}]",5,
pkgsrc,"[{""name"":pkgsrc,""pkgman"":Cargo},{""name"":pkgsrc,""pkgman"":Chromebrew}]",2,
hashlink,"[{""name"":hashlink,""pkgman"":Cargo},{""name"":hashlink,""pkgman"":Homebrew}]",2,
wabt,"[{""name"":wabt,""pkgman"":Cargo},{""name"":wabt,""pkgman"":Homebrew}]",2,
pager,"[{""name"":pager,""pkgman"":Cargo},{""name"":pager,""pkgman"":Nimble}]",2,
gamma,"[{""name"":gamma,""pkgman"":Cargo},{""name"":gamma,""pkgman"":Conan},{""name"":gamma,""pkgman"":VCPKG}]",3,
ed,"[{""name"":ed,""pkgman"":Cargo},{""name"":ed,""pkgman"":Chromebrew},{""name"":ed,""pkgman"":Homebrew}]",3,
bitcoin,"[{""name"":bitcoin,""pkgman"":Cargo},{""name"":bitcoin,""pkgman"":Homebrew}]",2,
glulxe,"[{""name"":glulxe,""pkgman"":Cargo},{""name"":glulxe,""pkgman"":Homebrew}]",2,
gmime,"[{""name"":gmime,""pkgman"":Cargo},{""name"":gmime,""pkgman"":Chromebrew},{""name"":gmime,""pkgman"":Homebrew},{""name"":gmime,""pkgman"":VCPKG}]",4,
socks,"[{""name"":socks,""pkgman"":Cargo},{""name"":socks,""pkgman"":Nimble}]",2,
grv,"[{""name"":grv,""pkgman"":Cargo},{""name"":grv,""pkgman"":Homebrew}]",2,
pcap,"[{""name"":pcap,""pkgman"":Cargo},{""name"":pcap,""pkgman"":Nimble}]",2,
macchanger,"[{""name"":macchanger,""pkgman"":Cargo},{""name"":macchanger,""pkgman"":Chromebrew}]",2,
cmark-gfm,"[{""name"":cmark-gfm,""pkgman"":Cargo},{""name"":cmark-gfm,""pkgman"":Homebrew}]",2,
s,"[{""name"":s,""pkgman"":Cargo},{""name"":s,""pkgman"":Chromebrew}]",2,
mongo,"[{""name"":mongo,""pkgman"":Cargo},{""name"":mongo,""pkgman"":Nimble}]",2,
z,"[{""name"":z,""pkgman"":Cargo},{""name"":z,""pkgman"":Homebrew}]",2,
v,"[{""name"":v,""pkgman"":Cargo},{""name"":v,""pkgman"":Homebrew}]",2,
mpack,"[{""name"":mpack,""pkgman"":Cargo},{""name"":mpack,""pkgman"":Homebrew}]",2,
moco,"[{""name"":moco,""pkgman"":Cargo},{""name"":moco,""pkgman"":Homebrew}]",2,
variantkey,"[{""name"":variantkey,""pkgman"":Cargo},{""name"":variantkey,""pkgman"":Nimble}]",2,
dataframe,"[{""name"":dataframe,""pkgman"":Cargo},{""name"":dataframe,""pkgman"":Conan},{""name"":dataframe,""pkgman"":VCPKG}]",3,
xml,"[{""name"":xml,""pkgman"":Cargo},{""name"":xml,""pkgman"":Nimble}]",2,
afio,"[{""name"":afio,""pkgman"":Cargo},{""name"":afio,""pkgman"":Homebrew}]",2,
click,"[{""name"":click,""pkgman"":Cargo},{""name"":click,""pkgman"":Homebrew}]",2,
morse,"[{""name"":morse,""pkgman"":Cargo},{""name"":morse,""pkgman"":Homebrew}]",2,
bzip2,"[{""name"":bzip2,""pkgman"":Cargo},{""name"":bzip2,""pkgman"":Conan},{""name"":bzip2,""pkgman"":Homebrew},{""name"":bzip2,""pkgman"":VCPKG}]",4,
cjson,"[{""name"":cjson,""pkgman"":Cargo},{""name"":cjson,""pkgman"":Conan},{""name"":cjson,""pkgman"":Homebrew},{""name"":cjson,""pkgman"":VCPKG}]",4,
detach,"[{""name"":detach,""pkgman"":Cargo},{""name"":detach,""pkgman"":Homebrew}]",2,
hyperfine,"[{""name"":hyperfine,""pkgman"":Cargo},{""name"":hyperfine,""pkgman"":Homebrew}]",2,
rlog,"[{""name"":rlog,""pkgman"":Cargo},{""name"":rlog,""pkgman"":Homebrew}]",2,
clash,"[{""name"":clash,""pkgman"":Cargo},{""name"":clash,""pkgman"":Homebrew}]",2,
podman,"[{""name"":podman,""pkgman"":Cargo},{""name"":podman,""pkgman"":Homebrew}]",2,
mort,"[{""name"":mort,""pkgman"":Cargo},{""name"":mort,""pkgman"":Nimble}]",2,
mono,"[{""name"":mono,""pkgman"":Cargo},{""name"":mono,""pkgman"":Chromebrew},{""name"":mono,""pkgman"":Homebrew}]",3,
clib,"[{""name"":clib,""pkgman"":Cargo},{""name"":clib,""pkgman"":Chromebrew},{""name"":clib,""pkgman"":Homebrew}]",3,
date,"[{""name"":date,""pkgman"":Cargo},{""name"":date,""pkgman"":Conan},{""name"":date,""pkgman"":VCPKG}]",3,
polipo,"[{""name"":polipo,""pkgman"":Cargo},{""name"":polipo,""pkgman"":Homebrew}]",2,
mockery,"[{""name"":mockery,""pkgman"":Cargo},{""name"":mockery,""pkgman"":Homebrew}]",2,
polyglot,"[{""name"":polyglot,""pkgman"":Cargo},{""name"":polyglot,""pkgman"":Homebrew}]",2,
tome,"[{""name"":tome,""pkgman"":Cargo},{""name"":tome,""pkgman"":Nimble}]",2,
locale,"[{""name"":locale,""pkgman"":Cargo},{""name"":locale,""pkgman"":Nimble}]",2,
datetime,"[{""name"":datetime,""pkgman"":Cargo},{""name"":datetime,""pkgman"":FPM}]",2,
sha3,"[{""name"":sha3,""pkgman"":Cargo},{""name"":sha3,""pkgman"":Nimble}]",2,
spot,"[{""name"":spot,""pkgman"":Cargo},{""name"":spot,""pkgman"":Homebrew}]",2,
config,"[{""name"":config,""pkgman"":Cargo},{""name"":config,""pkgman"":Nimble}]",2,
bddisasm,"[{""name"":bddisasm,""pkgman"":Cargo},{""name"":bddisasm,""pkgman"":VCPKG}]",2,
logr,"[{""name"":logr,""pkgman"":Cargo},{""name"":logr,""pkgman"":Conan}]",2,
looper,"[{""name"":looper,""pkgman"":Cargo},{""name"":looper,""pkgman"":Nimble}]",2,
fst,"[{""name"":fst,""pkgman"":Cargo},{""name"":fst,""pkgman"":Homebrew}]",2,
alsa,"[{""name"":alsa,""pkgman"":Cargo},{""name"":alsa,""pkgman"":Nimble},{""name"":alsa,""pkgman"":VCPKG}]",3,
crc32c,"[{""name"":crc32c,""pkgman"":Cargo},{""name"":crc32c,""pkgman"":Conan},{""name"":crc32c,""pkgman"":Homebrew},{""name"":crc32c,""pkgman"":VCPKG}]",4,
curl,"[{""name"":curl,""pkgman"":Cargo},{""name"":curl,""pkgman"":Alire},{""name"":curl,""pkgman"":Chromebrew},{""name"":curl,""pkgman"":Homebrew},{""name"":curl,""pkgman"":VCPKG}]",5,
serial,"[{""name"":serial,""pkgman"":Cargo},{""name"":serial,""pkgman"":Conan},{""name"":serial,""pkgman"":Nimble}]",3,
hex,"[{""name"":hex,""pkgman"":Cargo},{""name"":hex,""pkgman"":Nimble}]",2,
riff,"[{""name"":riff,""pkgman"":Cargo},{""name"":riff,""pkgman"":Homebrew},{""name"":riff,""pkgman"":Nimble}]",3,
ticker,"[{""name"":ticker,""pkgman"":Cargo},{""name"":ticker,""pkgman"":Chromebrew}]",2,
daemon,"[{""name"":daemon,""pkgman"":Cargo},{""name"":daemon,""pkgman"":Homebrew},{""name"":daemon,""pkgman"":Nimble}]",3,
rbspy,"[{""name"":rbspy,""pkgman"":Cargo},{""name"":rbspy,""pkgman"":Homebrew}]",2,
mlkit,"[{""name"":mlkit,""pkgman"":Cargo},{""name"":mlkit,""pkgman"":Homebrew}]",2,
stlink,"[{""name"":stlink,""pkgman"":Cargo},{""name"":stlink,""pkgman"":Homebrew}]",2,
sync,"[{""name"":sync,""pkgman"":Cargo},{""name"":sync,""pkgman"":Nimble}]",2,
postgrest,"[{""name"":postgrest,""pkgman"":Cargo},{""name"":postgrest,""pkgman"":Homebrew}]",2,
ginger,"[{""name"":ginger,""pkgman"":Cargo},{""name"":ginger,""pkgman"":Nimble}]",2,
mist,"[{""name"":mist,""pkgman"":Cargo},{""name"":mist,""pkgman"":Homebrew}]",2,
has,"[{""name"":has,""pkgman"":Cargo},{""name"":has,""pkgman"":Chromebrew}]",2,
gitmoji,"[{""name"":gitmoji,""pkgman"":Cargo},{""name"":gitmoji,""pkgman"":Homebrew}]",2,
geoclue,"[{""name"":geoclue,""pkgman"":Cargo},{""name"":geoclue,""pkgman"":Chromebrew}]",2,
geoip,"[{""name"":geoip,""pkgman"":Cargo},{""name"":geoip,""pkgman"":Chromebrew},{""name"":geoip,""pkgman"":Homebrew},{""name"":geoip,""pkgman"":Nimble}]",4,
genie,"[{""name"":genie,""pkgman"":Cargo},{""name"":genie,""pkgman"":Conan}]",2,
dlib,"[{""name"":dlib,""pkgman"":Cargo},{""name"":dlib,""pkgman"":Conan},{""name"":dlib,""pkgman"":Homebrew},{""name"":dlib,""pkgman"":VCPKG}]",4,
localize,"[{""name"":localize,""pkgman"":Cargo},{""name"":localize,""pkgman"":Nimble}]",2,
autodiff,"[{""name"":autodiff,""pkgman"":Cargo},{""name"":autodiff,""pkgman"":Homebrew}]",2,
wayland-protocols,"[{""name"":wayland-protocols,""pkgman"":Cargo},{""name"":wayland-protocols,""pkgman"":Conan},{""name"":wayland-protocols,""pkgman"":Homebrew}]",3,
scraper,"[{""name"":scraper,""pkgman"":Cargo},{""name"":scraper,""pkgman"":Nimble}]",2,
qp,"[{""name"":qp,""pkgman"":Cargo},{""name"":qp,""pkgman"":Homebrew}]",2,
rhit,"[{""name"":rhit,""pkgman"":Cargo},{""name"":rhit,""pkgman"":Homebrew}]",2,
gemgen,"[{""name"":gemgen,""pkgman"":Cargo},{""name"":gemgen,""pkgman"":Homebrew}]",2,
gauge,"[{""name"":gauge,""pkgman"":Cargo},{""name"":gauge,""pkgman"":Homebrew}]",2,
noise,"[{""name"":noise,""pkgman"":Cargo},{""name"":noise,""pkgman"":Nimble}]",2,
hmac,"[{""name"":hmac,""pkgman"":Cargo},{""name"":hmac,""pkgman"":Nimble}]",2,
lm-sensors,"[{""name"":lm-sensors,""pkgman"":Cargo},{""name"":lm-sensors,""pkgman"":Homebrew}]",2,
chacha20,"[{""name"":chacha20,""pkgman"":Cargo},{""name"":chacha20,""pkgman"":Nimble}]",2,
hostname,"[{""name"":hostname,""pkgman"":Cargo},{""name"":hostname,""pkgman"":Nimble}]",2,
metric,"[{""name"":metric,""pkgman"":Cargo},{""name"":metric,""pkgman"":Nimble}]",2,
miniserve,"[{""name"":miniserve,""pkgman"":Cargo},{""name"":miniserve,""pkgman"":Homebrew}]",2,
micro,"[{""name"":micro,""pkgman"":Cargo},{""name"":micro,""pkgman"":Chromebrew},{""name"":micro,""pkgman"":Homebrew}]",3,
arrow,"[{""name"":arrow,""pkgman"":Cargo},{""name"":arrow,""pkgman"":Conan},{""name"":arrow,""pkgman"":VCPKG}]",3,
tree-sitter-c,"[{""name"":tree-sitter-c,""pkgman"":Cargo},{""name"":tree-sitter-c,""pkgman"":Conan}]",2,
stew,"[{""name"":stew,""pkgman"":Cargo},{""name"":stew,""pkgman"":Nimble}]",2,
tre-command,"[{""name"":tre-command,""pkgman"":Cargo},{""name"":tre-command,""pkgman"":Homebrew}]",2,
ws,"[{""name"":ws,""pkgman"":Cargo},{""name"":ws,""pkgman"":Nimble}]",2,
redis,"[{""name"":redis,""pkgman"":Cargo},{""name"":redis,""pkgman"":Chromebrew},{""name"":redis,""pkgman"":Homebrew},{""name"":redis,""pkgman"":Nimble}]",4,
qrcodegen,"[{""name"":qrcodegen,""pkgman"":Cargo},{""name"":qrcodegen,""pkgman"":Nimble}]",2,
des,"[{""name"":des,""pkgman"":Cargo},{""name"":des,""pkgman"":Nimble}]",2,
gameoflife,"[{""name"":gameoflife,""pkgman"":Cargo},{""name"":gameoflife,""pkgman"":Nimble}]",2,
tokei,"[{""name"":tokei,""pkgman"":Cargo},{""name"":tokei,""pkgman"":Homebrew}]",2,
metrics,"[{""name"":metrics,""pkgman"":Cargo},{""name"":metrics,""pkgman"":Nimble}]",2,
swayipc,"[{""name"":swayipc,""pkgman"":Cargo},{""name"":swayipc,""pkgman"":Nimble}]",2,
docopt,"[{""name"":docopt,""pkgman"":Cargo},{""name"":docopt,""pkgman"":Conan},{""name"":docopt,""pkgman"":Nimble},{""name"":docopt,""pkgman"":VCPKG}]",4,
gd,"[{""name"":gd,""pkgman"":Cargo},{""name"":gd,""pkgman"":Homebrew}]",2,
lscolors,"[{""name"":lscolors,""pkgman"":Cargo},{""name"":lscolors,""pkgman"":Nimble}]",2,
linuxfb,"[{""name"":linuxfb,""pkgman"":Cargo},{""name"":linuxfb,""pkgman"":Nimble}]",2,
wyhash,"[{""name"":wyhash,""pkgman"":Cargo},{""name"":wyhash,""pkgman"":Nimble}]",2,
argon2,"[{""name"":argon2,""pkgman"":Cargo},{""name"":argon2,""pkgman"":Chromebrew},{""name"":argon2,""pkgman"":Conan},{""name"":argon2,""pkgman"":Homebrew},{""name"":argon2,""pkgman"":Nimble}]",5,
diesel,"[{""name"":diesel,""pkgman"":Cargo},{""name"":diesel,""pkgman"":Homebrew}]",2,
taskqueue,"[{""name"":taskqueue,""pkgman"":Cargo},{""name"":taskqueue,""pkgman"":Nimble}]",2,
primesieve,"[{""name"":primesieve,""pkgman"":Cargo},{""name"":primesieve,""pkgman"":Homebrew}]",2,
hey,"[{""name"":hey,""pkgman"":Cargo},{""name"":hey,""pkgman"":Homebrew}]",2,
unittest,"[{""name"":unittest,""pkgman"":Cargo},{""name"":unittest,""pkgman"":Homebrew}]",2,
unison,"[{""name"":unison,""pkgman"":Cargo},{""name"":unison,""pkgman"":Homebrew}]",2,
traildb,"[{""name"":traildb,""pkgman"":Cargo},{""name"":traildb,""pkgman"":Homebrew}]",2,
travis,"[{""name"":travis,""pkgman"":Cargo},{""name"":travis,""pkgman"":Homebrew}]",2,
hello,"[{""name"":hello,""pkgman"":Cargo},{""name"":hello,""pkgman"":Alire},{""name"":hello,""pkgman"":Chromebrew},{""name"":hello,""pkgman"":Homebrew}]",4,
stage,"[{""name"":stage,""pkgman"":Cargo},{""name"":stage,""pkgman"":Nimble}]",2,
maze,"[{""name"":maze,""pkgman"":Cargo},{""name"":maze,""pkgman"":Nimble}]",2,
unshield,"[{""name"":unshield,""pkgman"":Cargo},{""name"":unshield,""pkgman"":Chromebrew},{""name"":unshield,""pkgman"":Homebrew}]",3,
mercury,"[{""name"":mercury,""pkgman"":Cargo},{""name"":mercury,""pkgman"":Homebrew}]",2,
lsusb,"[{""name"":lsusb,""pkgman"":Cargo},{""name"":lsusb,""pkgman"":Homebrew}]",2,
mint,"[{""name"":mint,""pkgman"":Cargo},{""name"":mint,""pkgman"":Homebrew}]",2,
fuego,"[{""name"":fuego,""pkgman"":Cargo},{""name"":fuego,""pkgman"":Homebrew}]",2,
clang,"[{""name"":clang,""pkgman"":Cargo},{""name"":clang,""pkgman"":Nimble}]",2,
spin,"[{""name"":spin,""pkgman"":Cargo},{""name"":spin,""pkgman"":Homebrew}]",2,
bitvec,"[{""name"":bitvec,""pkgman"":Cargo},{""name"":bitvec,""pkgman"":Nimble}]",2,
atk,"[{""name"":atk,""pkgman"":Cargo},{""name"":atk,""pkgman"":Chromebrew},{""name"":atk,""pkgman"":Conan},{""name"":atk,""pkgman"":Homebrew},{""name"":atk,""pkgman"":VCPKG}]",5,
prometheus,"[{""name"":prometheus,""pkgman"":Cargo},{""name"":prometheus,""pkgman"":Homebrew},{""name"":prometheus,""pkgman"":Nimble}]",3,
fuse3,"[{""name"":fuse3,""pkgman"":Cargo},{""name"":fuse3,""pkgman"":Chromebrew}]",2,
sha2,"[{""name"":sha2,""pkgman"":Cargo},{""name"":sha2,""pkgman"":Homebrew}]",2,
