name,nodelist,count,notes
libfido2,"[{""name"":libfido2,""pkgman"":VCPKG},{""name"":libfido2,""pkgman"":Homebrew}]",2,
libfreenect2,"[{""name"":libfreenect2,""pkgman"":VCPKG},{""name"":libfreenect2,""pkgman"":Conan}]",2,
libftdi,"[{""name"":libftdi,""pkgman"":VCPKG},{""name"":libftdi,""pkgman"":Conan},{""name"":libftdi,""pkgman"":Homebrew}]",3,
libftdi1,"[{""name"":libftdi1,""pkgman"":VCPKG},{""name"":libftdi1,""pkgman"":Alire}]",2,
libgcrypt,"[{""name"":libgcrypt,""pkgman"":VCPKG},{""name"":libgcrypt,""pkgman"":Chromebrew},{""name"":libgcrypt,""pkgman"":Conan},{""name"":libgcrypt,""pkgman"":Homebrew},{""name"":libgcrypt,""pkgman"":Nimble}]",5,
libgd,"[{""name"":libgd,""pkgman"":VCPKG},{""name"":libgd,""pkgman"":Chromebrew},{""name"":libgd,""pkgman"":Conan}]",3,
libgeotiff,"[{""name"":libgeotiff,""pkgman"":VCPKG},{""name"":libgeotiff,""pkgman"":Chromebrew},{""name"":libgeotiff,""pkgman"":Conan},{""name"":libgeotiff,""pkgman"":Homebrew}]",4,
libgit2,"[{""name"":libgit2,""pkgman"":VCPKG},{""name"":libgit2,""pkgman"":Chromebrew},{""name"":libgit2,""pkgman"":Conan},{""name"":libgit2,""pkgman"":Homebrew},{""name"":libgit2,""pkgman"":Nimble}]",5,
libgnutls,"[{""name"":libgnutls,""pkgman"":VCPKG},{""name"":libgnutls,""pkgman"":Alire}]",2,
libgo,"[{""name"":libgo,""pkgman"":VCPKG},{""name"":libgo,""pkgman"":Cargo}]",2,
libgpg-error,"[{""name"":libgpg-error,""pkgman"":VCPKG},{""name"":libgpg-error,""pkgman"":Conan},{""name"":libgpg-error,""pkgman"":Homebrew}]",3,
libgta,"[{""name"":libgta,""pkgman"":VCPKG},{""name"":libgta,""pkgman"":Conan}]",2,
libgxps,"[{""name"":libgxps,""pkgman"":VCPKG},{""name"":libgxps,""pkgman"":Chromebrew},{""name"":libgxps,""pkgman"":Homebrew}]",3,
libharu,"[{""name"":libharu,""pkgman"":VCPKG},{""name"":libharu,""pkgman"":Cargo},{""name"":libharu,""pkgman"":Chromebrew},{""name"":libharu,""pkgman"":Conan},{""name"":libharu,""pkgman"":Homebrew}]",5,
libheif,"[{""name"":libheif,""pkgman"":VCPKG},{""name"":libheif,""pkgman"":Cargo},{""name"":libheif,""pkgman"":Chromebrew},{""name"":libheif,""pkgman"":Conan},{""name"":libheif,""pkgman"":Homebrew}]",5,
libhydrogen,"[{""name"":libhydrogen,""pkgman"":VCPKG},{""name"":libhydrogen,""pkgman"":Cargo}]",2,
libical,"[{""name"":libical,""pkgman"":VCPKG},{""name"":libical,""pkgman"":Cargo},{""name"":libical,""pkgman"":Chromebrew},{""name"":libical,""pkgman"":Homebrew}]",4,
libiconv,"[{""name"":libiconv,""pkgman"":VCPKG},{""name"":libiconv,""pkgman"":Alire},{""name"":libiconv,""pkgman"":Chromebrew},{""name"":libiconv,""pkgman"":Conan},{""name"":libiconv,""pkgman"":Homebrew}]",5,
libidn2,"[{""name"":libidn2,""pkgman"":VCPKG},{""name"":libidn2,""pkgman"":Chromebrew},{""name"":libidn2,""pkgman"":Conan},{""name"":libidn2,""pkgman"":Homebrew}]",4,
libigl,"[{""name"":libigl,""pkgman"":VCPKG},{""name"":libigl,""pkgman"":Conan}]",2,
libilbc,"[{""name"":libilbc,""pkgman"":VCPKG},{""name"":libilbc,""pkgman"":Homebrew}]",2,
libimobiledevice,"[{""name"":libimobiledevice,""pkgman"":VCPKG},{""name"":libimobiledevice,""pkgman"":Chromebrew},{""name"":libimobiledevice,""pkgman"":Homebrew}]",3,
libirecovery,"[{""name"":libirecovery,""pkgman"":VCPKG},{""name"":libirecovery,""pkgman"":Homebrew}]",2,
libjpeg-turbo,"[{""name"":libjpeg-turbo,""pkgman"":VCPKG},{""name"":libjpeg-turbo,""pkgman"":Conan}]",2,
libjxl,"[{""name"":libjxl,""pkgman"":VCPKG},{""name"":libjxl,""pkgman"":Conan}]",2,
libkml,"[{""name"":libkml,""pkgman"":VCPKG},{""name"":libkml,""pkgman"":Conan},{""name"":libkml,""pkgman"":Homebrew}]",3,
liblas,"[{""name"":liblas,""pkgman"":VCPKG},{""name"":liblas,""pkgman"":Homebrew}]",2,
liblbfgs,"[{""name"":liblbfgs,""pkgman"":VCPKG},{""name"":liblbfgs,""pkgman"":Cargo}]",2,
liblinear,"[{""name"":liblinear,""pkgman"":VCPKG},{""name"":liblinear,""pkgman"":Cargo},{""name"":liblinear,""pkgman"":Homebrew}]",3,
liblo,"[{""name"":liblo,""pkgman"":VCPKG},{""name"":liblo,""pkgman"":Homebrew}]",2,
liblzma,"[{""name"":liblzma,""pkgman"":VCPKG},{""name"":liblzma,""pkgman"":Alire}]",2,
libmad,"[{""name"":libmad,""pkgman"":VCPKG},{""name"":libmad,""pkgman"":Chromebrew},{""name"":libmad,""pkgman"":Conan}]",3,
libmagic,"[{""name"":libmagic,""pkgman"":VCPKG},{""name"":libmagic,""pkgman"":Homebrew}]",2,
libmaxminddb,"[{""name"":libmaxminddb,""pkgman"":VCPKG},{""name"":libmaxminddb,""pkgman"":Chromebrew},{""name"":libmaxminddb,""pkgman"":Conan},{""name"":libmaxminddb,""pkgman"":Homebrew}]",4,
libmediainfo,"[{""name"":libmediainfo,""pkgman"":VCPKG},{""name"":libmediainfo,""pkgman"":Conan}]",2,
libmicrohttpd,"[{""name"":libmicrohttpd,""pkgman"":VCPKG},{""name"":libmicrohttpd,""pkgman"":Chromebrew},{""name"":libmicrohttpd,""pkgman"":Homebrew}]",3,
libmikmod,"[{""name"":libmikmod,""pkgman"":VCPKG},{""name"":libmikmod,""pkgman"":Conan},{""name"":libmikmod,""pkgman"":Homebrew}]",3,
libmodbus,"[{""name"":libmodbus,""pkgman"":VCPKG},{""name"":libmodbus,""pkgman"":Cargo},{""name"":libmodbus,""pkgman"":Conan},{""name"":libmodbus,""pkgman"":Homebrew}]",4,
libmodplug,"[{""name"":libmodplug,""pkgman"":VCPKG},{""name"":libmodplug,""pkgman"":Chromebrew},{""name"":libmodplug,""pkgman"":Conan},{""name"":libmodplug,""pkgman"":Homebrew}]",4,
libmorton,"[{""name"":libmorton,""pkgman"":VCPKG},{""name"":libmorton,""pkgman"":Conan}]",2,
libmount,"[{""name"":libmount,""pkgman"":VCPKG},{""name"":libmount,""pkgman"":Conan},{""name"":libmount,""pkgman"":Cargo}]",3,
libmpeg2,"[{""name"":libmpeg2,""pkgman"":VCPKG},{""name"":libmpeg2,""pkgman"":Chromebrew},{""name"":libmpeg2,""pkgman"":Homebrew}]",3,
libnice,"[{""name"":libnice,""pkgman"":VCPKG},{""name"":libnice,""pkgman"":Cargo},{""name"":libnice,""pkgman"":Homebrew}]",3,
libnoise,"[{""name"":libnoise,""pkgman"":VCPKG},{""name"":libnoise,""pkgman"":Conan}]",2,
libnop,"[{""name"":libnop,""pkgman"":VCPKG},{""name"":libnop,""pkgman"":Conan}]",2,
libogg,"[{""name"":libogg,""pkgman"":VCPKG},{""name"":libogg,""pkgman"":Chromebrew},{""name"":libogg,""pkgman"":Homebrew}]",3,
