:ID,pkg_name,pkgman,version,:LABEL,homepage,repo
version837chromebrew,jsoncpp,chromebrew,1.9.4,Version,https://github.com/open-source-parsers/jsoncpp.git,https://github.com/open-source-parsers/jsoncpp
version1484conan,jsoncpp,conan,1.9.5,Version,,https://github.com/open-source-parsers/jsoncpp
version2540homebrew,jsoncpp,homebrew,1.9.5,Version,https://github.com/open-source-parsers/jsoncpp/archive/1.9.5.tar.gz,https://github.com/open-source-parsers/jsoncpp
version758vcpkg,jsoncpp,vcpkg,1.9.5,Version,,https://github.com/open-source-parsers/jsoncpp
version840chromebrew,mosh,chromebrew,1.3.2-3,Version,https://mosh.org/mosh-1.3.2.tar.gz,https://mosh.org/
version3599homebrew,mosh,homebrew,1.3.2,Version,https://mosh.org/mosh-1.3.2.tar.gz,https://mosh.org
version841chromebrew,lzo,chromebrew,2.10-1,Version,https://www.oberhumer.com/opensource/lzo/download/lzo-2.10.tar.gz,http://www.oberhumer.com/opensource/lzo/
version2007conan,lzo,conan,2.10,Version,,http://www.oberhumer.com/opensource/lzo/
version3341homebrew,lzo,homebrew,2.10,Version,https://www.oberhumer.com/opensource/lzo/download/lzo-2.10.tar.gz,https://www.oberhumer.com/opensource/lzo/
version1072vcpkg,lzo,vcpkg,2.10,Version,,https://www.oberhumer.com/opensource/lzo/
version844chromebrew,xmltoman,chromebrew,0.4,Version,https://downloads.sourceforge.net/project/xmltoman/xmltoman/xmltoman-0.4.tar.gz/xmltoman-0.4.tar.gz,https://sourceforge.net/projects/xmltoman/
version5910homebrew,xmltoman,homebrew,0.4,Version,https://downloads.sourceforge.net/project/xmltoman/xmltoman/xmltoman-0.4.tar.gz/xmltoman-0.4.tar.gz,https://sourceforge.net/projects/xmltoman/
version859chromebrew,libressl,chromebrew,1.1.1i,Version,https://ftp.gnome.org/pub/GNOME/sources/GConf/3.2/GConf-3.2.6.tar.xz,https://www.libressl.org/
version3056homebrew,libressl,homebrew,3.4.3,Version,https://ftp.openbsd.org/pub/OpenBSD/LibreSSL/libressl-3.4.3.tar.gz,https://www.libressl.org/
version1818conan,libressl,conan,3.5.2,Version,,https://www.libressl.org/
version863chromebrew,libgsf,chromebrew,1.14.47,Version,http://www.ibiblio.org/pub/Linux/system/hardware/hdparm-9.32.tar.gz,https://gitlab.gnome.org/GNOME/libgsf
version2902homebrew,libgsf,homebrew,1.14.49,Version,https://download.gnome.org/sources/libgsf/1.14/libgsf-1.14.49.tar.xz,https://gitlab.gnome.org/GNOME/libgsf
version864chromebrew,enscript,chromebrew,1.6.6,Version,https://ftpmirror.gnu.org/enscript/enscript-1.6.6.tar.gz,https://www.gnu.org/software/enscript/
version1358homebrew,enscript,homebrew,1.6.6,Version,https://ftp.gnu.org/gnu/enscript/enscript-1.6.6.tar.gz,https://www.gnu.org/software/enscript/
version2527conan,patchelf,conan,0.13,Version,,https://github.com/NixOS/patchelf
version4129homebrew,patchelf,homebrew,0.14.5,Version,https://github.com/NixOS/patchelf/releases/download/0.14.5/patchelf-0.14.5.tar.bz2,https://github.com/NixOS/patchelf
version875chromebrew,libvdpau,chromebrew,1.3,Version,https://gitlab.freedesktop.org/vdpau/libvdpau/-/archive/1.3/libvdpau-1.3.tar.bz2,https://www.freedesktop.org/wiki/Software/VDPAU/
version3145homebrew,libvdpau,homebrew,1.5,Version,https://gitlab.freedesktop.org/vdpau/libvdpau/-/archive/1.5/libvdpau-1.5.tar.bz2,https://www.freedesktop.org/wiki/Software/VDPAU/
version820conan,doctest,conan,2.4.8,Version,,https://github.com/onqtam/doctest
version475vcpkg,doctest,vcpkg,2.4.8,Version,,https://github.com/onqtam/doctest
version14358786npm,confo,npm,1.0.14,Version,https://github.com/evilrobts/confo,https://github.com/evilrobts/confo
version14358787npm,confo,npm,1.0.15,Version,https://github.com/ssbb/confo,https://github.com/ssbb/confo
version880chromebrew,libidn2,chromebrew,2.3.2,Version,http://www.webdav.org/cadaver/cadaver-0.23.3.tar.gz,https://www.gnu.org/software/libidn/
version1691conan,libidn2,conan,2.3.0,Version,,https://www.gnu.org/software/libidn/
version906vcpkg,libidn2,vcpkg,2.3.1,Version,,https://www.gnu.org/software/libidn/
version886chromebrew,sngrep,chromebrew,1.4.6-1,Version,https://github.com/irontec/sngrep/archive/v1.4.6.tar.gz,https://github.com/irontec/sngrep
version5006homebrew,sngrep,homebrew,1.5.0,Version,https://github.com/irontec/sngrep/archive/v1.5.0.tar.gz,https://github.com/irontec/sngrep
version896chromebrew,avisynthplus,chromebrew,3.7.0,Version,https://github.com/AviSynth/AviSynthPlus/archive/v3.7.0/avisynthplus-3.7.0.tar.gz,https://avs-plus.net/
version61vcpkg,avisynthplus,vcpkg,3.7.0,Version,,https://avs-plus.net/
version898chromebrew,vala,chromebrew,0.53.2,Version,https://gitlab.gnome.org/GNOME/vala.git,https://wiki.gnome.org/Projects/Vala
version5614homebrew,vala,homebrew,0.56.1,Version,https://download.gnome.org/sources/vala/0.56/vala-0.56.1.tar.xz,https://wiki.gnome.org/Projects/Vala
version905chromebrew,pixz,chromebrew,1.0.7-0829-2,Version,https://github.com/vasi/pixz.git,https://github.com/vasi/pixz
version4266homebrew,pixz,homebrew,1.0.7,Version,https://github.com/vasi/pixz/releases/download/v1.0.7/pixz-1.0.7.tar.gz,https://github.com/vasi/pixz
version906chromebrew,nodebrew,chromebrew,1.0.1,Version,https://github.com/vasi/pixz.git,https://github.com/hokaccha/nodebrew
version3827homebrew,nodebrew,homebrew,1.2.0,Version,https://github.com/hokaccha/nodebrew/archive/v1.2.0.tar.gz,https://github.com/hokaccha/nodebrew
version925chromebrew,libgit2,chromebrew,1.4.2,Version,https://github.com/libgit2/libgit2.git,https://libgit2.org/
version1669conan,libgit2,conan,1.3.0,Version,,https://libgit2.org/
version917nimble,libgit2,nimble,0.26.0,Version,https://github.com/barcharcraz/libgit2-nim,https://github.com/barcharcraz/libgit2-nim
version936chromebrew,openmpi,chromebrew,4.0.1,Version,https://download.open-mpi.org/release/open-mpi/v4.0/openmpi-4.0.1.tar.bz2,https://www.open-mpi.org/
version1271vcpkg,openmpi,vcpkg,4.1.0,Version,,https://www.open-mpi.org/
version939chromebrew,libimagequant,chromebrew,2.14.1,Version,https://github.com/harelba/q/archive/1.7.1.tar.gz,https://pngquant.org/lib/
version2925homebrew,libimagequant,homebrew,4.0.0,Version,https://github.com/ImageOptim/libimagequant/archive/4.0.0.tar.gz,https://pngquant.org/lib/
version956chromebrew,serf,chromebrew,1.3.9-2,Version,https://www.apache.org/dist/serf/serf-1.3.9.tar.bz2,https://serf.apache.org/
version2929conan,serf,conan,1.3.9,Version,,https://serf.apache.org/
version3205conan,tbb,conan,2019_u9,Version,,https://github.com/oneapi-src/oneTBB
version5280homebrew,tbb,homebrew,2021.5.0,Version,https://github.com/oneapi-src/oneTBB/archive/refs/tags/v2021.5.0.tar.gz,https://github.com/oneapi-src/oneTBB
version977chromebrew,mawk,chromebrew,1.3.4-1,Version,https://salsa.debian.org/debian/mawk/-/archive/debian/1.3.4.20200120-2/mawk-debian-1.3.4.20200120-2.tar.bz2,https://invisible-island.net/mawk/
version3417homebrew,mawk,homebrew,1.3.4-20200120,Version,https://invisible-mirror.net/archives/mawk/mawk-1.3.4-20200120.tgz,https://invisible-island.net/mawk/
version979chromebrew,cloog,chromebrew,0.20.0,Version,https://github.com/periscop/cloog/releases/download/cloog-0.20.0/cloog-0.20.0.tar.gz,https://github.com/periscop/cloog
version781homebrew,cloog,homebrew,0.20.0,Version,https://github.com/periscop/cloog/releases/download/cloog-0.20.0/cloog-0.20.0.tar.gz,https://github.com/periscop/cloog
version1014chromebrew,chruby,chromebrew,0.3.9-1,Version,https://github.com/postmodern/chruby/archive/v0.3.9.tar.gz,https://github.com/postmodern/chruby
